loss,accuracy,runtime,samples_per_second,steps_per_second,epoch
0.35344982147216797,0.8460714285714286,3.4028,822.858,51.429,1.0
0.3266664445400238,0.8732142857142857,3.3948,824.784,51.549,2.0
0.4512951672077179,0.8382142857142857,3.379,828.649,51.791,3.0
0.4395347833633423,0.8685714285714285,3.3728,830.174,51.886,4.0
0.5597692131996155,0.8589285714285714,3.3856,827.04,51.69,5.0
0.6773819327354431,0.8592857142857143,3.3767,829.209,51.826,6.0
0.7864310145378113,0.8485714285714285,3.3751,829.611,51.851,7.0
0.6101211309432983,0.8692857142857143,3.3724,830.278,51.892,8.0
0.8416593074798584,0.8510714285714286,3.3866,826.796,51.675,9.0
0.8641436696052551,0.8410714285714286,3.3689,831.136,51.946,10.0
0.8181749582290649,0.8628571428571429,3.3868,826.733,51.671,11.0
0.9618929624557495,0.8539285714285715,3.3785,828.765,51.798,12.0
0.9626890420913696,0.8489285714285715,3.3839,827.457,51.716,13.0
1.0195317268371582,0.8378571428571429,3.3747,829.712,51.857,14.0
0.9686448574066162,0.8467857142857143,3.384,827.417,51.714,15.0
1.0005515813827515,0.8585714285714285,3.3672,831.545,51.972,16.0
0.9537519216537476,0.8628571428571429,3.3733,830.048,51.878,17.0
0.9783909320831299,0.8732142857142857,3.3699,830.883,51.93,18.0
1.0165114402770996,0.8610714285714286,3.3895,826.076,51.63,19.0
0.9580135941505432,0.8717857142857143,3.3761,829.364,51.835,20.0
1.0317586660385132,0.8667857142857143,3.3813,828.085,51.755,21.0
1.1503674983978271,0.8596428571428572,3.3871,826.666,51.667,22.0
1.1040109395980835,0.8560714285714286,3.3741,829.847,51.865,23.0
1.0951040983200073,0.8585714285714285,3.3818,827.958,51.747,24.0
1.1791821718215942,0.8532142857142857,3.3786,828.754,51.797,25.0
