loss,epoch
0.4032,0.37
0.3398,0.74
0.3003,1.11
0.2573,1.48
0.2711,1.85
0.2205,2.22
0.217,2.59
0.2146,2.96
0.1775,3.33
0.1848,3.7
0.1751,4.07
0.1563,4.44
0.1564,4.81
0.1389,5.18
0.1378,5.55
0.1475,5.92
0.1123,6.29
0.1228,6.66
0.122,7.03
0.0933,7.4
0.0986,7.77
0.1087,8.14
0.0766,8.51
0.1019,8.88
0.0884,9.25
0.0823,9.62
0.075,9.99
0.0702,10.36
0.0706,10.73
0.0635,11.1
0.0659,11.47
0.0729,11.84
0.068,12.21
0.0537,12.58
0.0636,12.95
0.0497,13.32
0.0603,13.69
0.06,14.06
0.0489,14.43
0.0514,14.8
0.0535,15.17
0.0523,15.54
0.047,15.91
0.0446,16.28
0.0467,16.65
0.0436,17.02
0.0368,17.39
0.0518,17.76
0.0439,18.13
0.0372,18.5
0.0369,18.87
0.0379,19.25
0.0319,19.62
0.0494,19.99
0.034,20.36
0.0338,20.73
0.0382,21.1
0.0254,21.47
0.0433,21.84
0.0343,22.21
0.0312,22.58
0.036,22.95
0.0328,23.32
0.0262,23.69
0.0343,24.06
0.0308,24.43
0.0314,24.8
